Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity,mean_predicts,mean_predicts_fine
0,1,1,1,0,0,1,0,0,0,0,0,0.63,0.39640006,0.4122035
0,1,1,0,0,0,0,0,0,0,0,0,0.42,0.41354054,0.4585201
0,1,1,1,0,0,0,0,1,1,0,0,0.28,0.4296263,0.4551723
0,1,1,1,0,0,0,0,0,0,0,0,0.15,0.51561195,0.6196418
0,0,0,1,0,0,1,0,0,0,0,0,0.72,0.39091158,0.4456361
0,0,1,0,0,0,0,0,0,0,0,1,0.74,0.655949,0.7478794
0,1,1,1,0,0,0,0,1,1,0,0,0.22,0.2949955,0.2696742
0,1,1,0,0,0,1,1,0,0,1,0,0.35,0.3582504,0.30727777
0,1,1,1,0,0,0,0,0,0,0,0,0.53,0.5912968,0.7027993
0,1,1,1,0,0,0,0,0,0,0,0,0.21,0.29054326,0.26540232
0,1,1,1,0,0,0,0,0,0,0,0,0.28,0.35962105,0.35927787
0,1,1,1,0,0,0,0,0,0,0,0,0.02,0.41417614,0.44720012
0,1,1,1,0,0,0,0,0,0,0,0,0.18,0.35086316,0.34638792
0,1,1,1,0,0,0,0,1,1,0,0,0.41,0.44909182,0.48825327
0,1,0,0,0,1,0,0,0,0,0,0,0.13,0.26051834,0.22642341
0,1,1,1,0,0,0,0,0,0,0,0,0.98,0.7123296,0.80209076
0,0,0,1,0,0,0,0,0,0,0,1,0.34,0.2795321,0.19330344
0,1,1,0,0,0,0,1,1,1,0,0,0.69,0.47137675,0.60063636
0,0,1,1,0,0,0,0,0,0,0,0,0.53,0.50239354,0.568246
0,1,1,0,0,0,0,0,0,0,0,0,1.0,0.3803915,0.40190968
0,1,1,1,0,0,0,1,0,0,0,0,0.29,0.35487378,0.3254532
0,0,0,1,0,0,1,0,0,0,0,0,0.27,0.31411725,0.30717546
0,1,1,1,0,0,0,0,0,0,0,0,0.28,0.28129235,0.2538043
0,1,1,1,0,0,0,0,0,0,0,0,0.5,0.36688113,0.37021798
