Id,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity
train_1,,,,,,,,,,,,,1
train_2,,,,,,,,,,,,,1
train_3,,,,,,,,,,,,,1
train_4,,,,,,,,,,,,,5
train_5,,,,,,,,,,,,,1
train_6,,,,,,,,,,,,,1
train_7,,,,,,,,,,,,,5
train_8,,,,,,,,,,,,,1
train_9,,,,,,,,,,,,,5
train_10,,,,,,,,,,,,,5
train_11,,,,,,,,,,,,,5
train_12,,,,,,,,,,,,,2
train_13,,,,,,,,,,,,,5
train_14,,,,,,,,,,,,,5
train_15,,,,,,,,,,,,,4
train_16,,,,,,,,,,,,,5
train_17,,,,,,,,,,,,,1
train_18,,,,,,,,,,,,,5
train_19,,,,,,,,,,,,,1
train_20,,,,,,,,,,,,,1
train_21,,,,,,,,,,,,,5
train_22,,,,,,,,,,,,,1
train_23,,,,,,,,,,,,,1
train_24,,,,,,,,,,,,,5
train_25,,,,,,,,,,,,,5
train_26,,,,,,,,,,,,,1
train_27,,,,,,,,,,,,,1
train_28,,,,,,,,,,,,,1
train_29,,,,,,,,,,,,,1
train_30,,,,,,,,,,,,,5
train_31,,,,,,,,,,,,,5
train_32,,,,,,,,,,,,,5
train_33,,,,,,,,,,,,,5
train_34,,,,,,,,,,,,,5
train_35,,,,,,,,,,,,,5
train_36,,,,,,,,,,,,,1
train_37,,,,,,,,,,,,,3
train_38,,,,,,,,,,,,,2
train_39,,,,,,,,,,,,,5
train_40,,,,,,,,,,,,,5
train_41,,,,,,,,,,,,,1
train_42,,,,,,,,,,,,,5
train_43,,,,,,,,,,,,,5
train_44,,,,,,,,,,,,,2
train_45,,,,,,,,,,,,,5
train_46,,,,,,,,,,,,,5
train_47,,,,,,,,,,,,,5
train_48,,,,,,,,,,,,,5
train_49,,,,,,,,,,,,,5
train_50,,,,,,,,,,,,,5
train_51,,,,,,,,,,,,,4
train_52,,,,,,,,,,,,,4
train_53,,,,,,,,,,,,,1
train_54,,,,,,,,,,,,,5
train_55,,,,,,,,,,,,,1
train_56,,,,,,,,,,,,,1
train_57,,,,,,,,,,,,,1
train_58,,,,,,,,,,,,,1
train_59,,,,,,,,,,,,,4
train_60,,,,,,,,,,,,,5
train_61,,,,,,,,,,,,,1
train_62,,,,,,,,,,,,,1
train_63,,,,,,,,,,,,,5
train_64,,,,,,,,,,,,,1
train_65,,,,,,,,,,,,,2
train_66,,,,,,,,,,,,,5
train_67,,,,,,,,,,,,,3
train_68,,,,,,,,,,,,,1
train_69,,,,,,,,,,,,,1
train_70,,,,,,,,,,,,,3
train_71,,,,,,,,,,,,,1
train_72,,,,,,,,,,,,,5
train_73,,,,,,,,,,,,,5
train_74,,,,,,,,,,,,,5
train_75,,,,,,,,,,,,,1
train_76,,,,,,,,,,,,,5
train_77,,,,,,,,,,,,,5
train_78,,,,,,,,,,,,,5
train_79,,,,,,,,,,,,,5
train_80,,,,,,,,,,,,,5
train_81,,,,,,,,,,,,,1
train_82,,,,,,,,,,,,,5
train_83,,,,,,,,,,,,,5
train_84,,,,,,,,,,,,,3
train_85,,,,,,,,,,,,,5
train_86,,,,,,,,,,,,,1
train_87,,,,,,,,,,,,,1
train_88,,,,,,,,,,,,,1
train_89,,,,,,,,,,,,,1
train_90,,,,,,,,,,,,,1
train_91,,,,,,,,,,,,,5
train_92,,,,,,,,,,,,,4
train_93,,,,,,,,,,,,,1
train_94,,,,,,,,,,,,,5
train_95,,,,,,,,,,,,,2
train_96,,,,,,,,,,,,,1
train_97,,,,,,,,,,,,,5
train_98,,,,,,,,,,,,,1
train_99,,,,,,,,,,,,,5
train_100,,,,,,,,,,,,,1
train_101,,,,,,,,,,,,,5
train_102,,,,,,,,,,,,,1
train_103,,,,,,,,,,,,,5
train_104,,,,,,,,,,,,,1
train_105,,,,,,,,,,,,,1
train_106,,,,,,,,,,,,,5
train_107,,,,,,,,,,,,,1
train_108,,,,,,,,,,,,,5
train_109,,,,,,,,,,,,,3
train_110,,,,,,,,,,,,,5
train_111,,,,,,,,,,,,,1
train_112,,,,,,,,,,,,,1
train_113,,,,,,,,,,,,,1
train_114,,,,,,,,,,,,,5
train_115,,,,,,,,,,,,,5
train_116,,,,,,,,,,,,,1
train_117,,,,,,,,,,,,,5
train_118,,,,,,,,,,,,,5
train_119,,,,,,,,,,,,,1
train_120,,,,,,,,,,,,,5
train_121,,,,,,,,,,,,,1
train_122,,,,,,,,,,,,,5
train_123,,,,,,,,,,,,,1
train_124,,,,,,,,,,,,,5
train_125,,,,,,,,,,,,,1
train_126,,,,,,,,,,,,,5
train_127,,,,,,,,,,,,,1
train_128,,,,,,,,,,,,,5
train_129,,,,,,,,,,,,,5
train_130,,,,,,,,,,,,,1
train_131,,,,,,,,,,,,,5
train_132,,,,,,,,,,,,,5
train_133,,,,,,,,,,,,,5
train_134,,,,,,,,,,,,,1
train_135,,,,,,,,,,,,,5
train_136,,,,,,,,,,,,,1
train_137,,,,,,,,,,,,,1
train_138,,,,,,,,,,,,,5
train_139,,,,,,,,,,,,,5
train_140,,,,,,,,,,,,,1
train_141,,,,,,,,,,,,,1
train_142,,,,,,,,,,,,,1
train_143,,,,,,,,,,,,,5
train_144,,,,,,,,,,,,,5
train_145,,,,,,,,,,,,,1
train_146,,,,,,,,,,,,,5
train_147,,,,,,,,,,,,,5
train_148,,,,,,,,,,,,,3
train_149,,,,,,,,,,,,,5
train_150,,,,,,,,,,,,,1
train_151,,,,,,,,,,,,,5
train_152,,,,,,,,,,,,,5
train_153,,,,,,,,,,,,,1
train_154,,,,,,,,,,,,,1
train_155,,,,,,,,,,,,,2
train_156,,,,,,,,,,,,,5
train_157,,,,,,,,,,,,,5
train_158,,,,,,,,,,,,,2
train_159,,,,,,,,,,,,,1
train_160,,,,,,,,,,,,,1
train_161,,,,,,,,,,,,,5
train_162,,,,,,,,,,,,,5
train_163,,,,,,,,,,,,,5
train_164,,,,,,,,,,,,,5
train_165,,,,,,,,,,,,,1
train_166,,,,,,,,,,,,,2
train_167,,,,,,,,,,,,,1
train_168,,,,,,,,,,,,,3
train_169,,,,,,,,,,,,,1
train_170,,,,,,,,,,,,,1
train_171,,,,,,,,,,,,,5
train_172,,,,,,,,,,,,,5
train_173,,,,,,,,,,,,,5
train_174,,,,,,,,,,,,,1
train_175,,,,,,,,,,,,,5
train_176,,,,,,,,,,,,,1
train_177,,,,,,,,,,,,,5
train_178,,,,,,,,,,,,,1
train_179,,,,,,,,,,,,,5
train_180,,,,,,,,,,,,,5
train_181,,,,,,,,,,,,,5
train_182,,,,,,,,,,,,,1
train_183,,,,,,,,,,,,,1
train_184,,,,,,,,,,,,,5
train_185,,,,,,,,,,,,,4
